district,parameter. ph,parameter.flouride,parameter.tds,cordinates.latitude,cordinates.longitude,state
Surada,8,0,243,,,IN-OR
Talacher,8,1,447,,,IN-OR
Tangi,8,0,84,,,IN-OR
Tangi Choudwar,8,0,468,,,IN-OR
Telkoi,8,0,153,,,IN-OR
Thakur Munda,8,0,165,,,IN-OR
Thuamul Ram Pur,,,,,,IN-OR
Tigiria,8,0,437,,,IN-OR
Tileibani,8,0,304,,,IN-OR
Tiringi,8,0,143,,,IN-OR
Tirtol,8,0,324,,,IN-OR
Titlagarh,8,0,418,,,IN-OR
Turekela,8,1,422,,,IN-OR
(blank),8,0,272,,,IN-OR
Grand Total,8,1,338,,,IN-OR
