district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
East Siang,8.011111111,137.5844444,0.82875,0.15,95.51595306,27.88178825,IN-AR
Lower Subansiri,7.5275,116.76,0.475,0.1825,94.21111298,27.61084175,IN-AR
Papumpare,8.061875,121.073125,1.462,0.2625,93.27101898,27.59537125,IN-AR
