district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
East Garo Hills,7.8375,50.7825,2.816666667,0.328333333,91.00078583,25.82225037,IN-ML
East Khasi Hill,7.746875,196.81625,0.786875,0.211875,91.51819611,25.1449585,IN-ML
Jaintia Hills,7.85,89.47,2.215,0.3425,92.29890442,25.07198906,IN-ML
Ri Bhoi,7.968333333,131.9983333,1.041666667,0.326666667,92.15299988,25.66838455,IN-ML
West Garo Hills,7.6775,111.0275,3.525,0.314166667,90.12422943,25.22551727,IN-ML
West Khasi Hill,7.95,135.6,1.43,0.685,91.55510712,25.43912125,IN-ML
