district,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude,cordinates.latitude,state
,,,,,,,
Dhalai,7.75,126.545,3.933333333,0.37,91.81077576,24.21705437,IN-TR
North Tripura,7.660769231,162.5830769,2.430769231,0.409230769,92.09191895,23.98327637,IN-TR
South Tripura,8.026,194.4966667,3.353333333,0.459333333,91.71310425,22.98869514,IN-TR
West Tripura,8.0495,188.6335,1.59,0.43,91.24501038,23.90854454,IN-TR
